Section,Item,XS_0801,XS_0803,XS_0805,XS_0807,XS_0811,XS_0814,XS_0815,XS_0819,XS_0820,XS_0821,XS_0822,XS_0825,XS_0826,XS_1201,XS_1205,XS_1208,XS_1211,XS_1216,XS_1218,XS_1219,XS_1222,XS_1224,XS_1225,XS_1229,XS_1230,XS_1604,XS_1612,XS_1614,XS_1619,XS_1622,XS_1628,XS_1629,XS_1631,XS_1634,XS_1635,XS_1636,XS_1638,XS_1639
A. First Signs of Understanding,"Respond when name is called (e.g., by turning and looking at source)",Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A. First Signs of Understanding,"Respond to ""no no"" by stopping what he//she is doing, at least for a moment",Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A. First Signs of Understanding,"React to ""there's mommy/daddy"" by looking around for them",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
B. Phrases,Are you hungry?,No,No,Understands,No,Understands,No,No,No,No,No,No,No,No,Understands,No,No,Understands,Understands,No,Understands,No,Understands,No,Understands,No,Understands,No,Understands,Understands,Understands,Understands,Understands,No,Understands,No,Understands,No,Understands
B. Phrases,Are you tired/sleepy?,No,No,No,No,Understands,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,No,Understands,Understands,No,Understands,Understands,No,No,No,No,No
B. Phrases,Be careful.,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,Understands,No,No,No,No,No,No,No,Understands,Understands,Understands,Understands,No,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands
B. Phrases,Be quiet.,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,Understands,Understands,No,Understands,No,Understands,No,Understands,No,No
B. Phrases,Clap your hands.,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,Understands,No,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands
B. Phrases,Change diaper.,No,No,No,No,Understands,No,No,No,No,No,Understands,No,No,Understands,No,Understands,Understands,Understands,No,No,No,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,No
B. Phrases,Come here/come on.,No,No,Understands,No,No,Understands,No,Understands,No,No,Understands,No,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands
B. Phrases,Daddy's/mommy's home.,No,Understands,Understands,No,Understands,No,Understands,Understands,Understands,No,Understands,No,Understands,Understands,No,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands, No,Understands
B. Phrases,Do you want more?,No,Understands,Understands,No,No,No,No,Understands,Understands,No,No,No,Understands,Understands,Understands,Understands,Understands,Understands,No,No,No,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,Understands,Understands
B. Phrases,Don't do that.,Understands,No,No,No,No,No,No,No,Understands,No,No,No,Understands,Understands,Understands,No,No,Understands,Understands,No,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,No,Understands
B. Phrases,Don't touch.,No,No,Understands,No,No,No,No,No,Understands,No,No,No,No,Understands,No,No,No,No,Understands,No,No,Understands,No,Understands,No,Understands,No,Understands,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands
B. Phrases,Get up.,Understands,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,Understands,Understands,No,No,No,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,No
B. Phrases,Give it to mommy.,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,Understands,No,Understands,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands
B. Phrases,Give me a hug.,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,No,No,No,No,No,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,No,Understands
B. Phrases,Give me a kiss.,No,No,No,No,Understands,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands
B. Phrases,Go get ____.,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,Understands,No,No,No,No,Understands,No,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,No,Understands
B. Phrases,Good girl/boy.,No,No,Understands,No,No,No,No,Understands,Understands,No,No,No,No,Understands,Understands,No,Understands,No,No,No,Understands,Understands,No,No,No,No,No,No,Understands,No,No,Understands,Understands,Understands,No,Understands,Understands,Understands
B. Phrases,Hold still.,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No
B. Phrases,Let's go bye bye.,No,No,No,No,Understands,No,No,No,No,No,No,No,No,Understands,Understands,Understands,No,No,Understands,No,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands
B. Phrases,Look/look here.,No,No,Understands,No,No,No,No,Understands,No,No,No,No,No,Understands,No,Understands,Understands,Understands,No,Understands,No,Understands,Understands,No,Understands,No,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands
B. Phrases,Open your mouth.,Understands,No,Understands,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,No,No,No,No,Understands,No,No,Understands,Understands,Understands,Understands,No,Understands,No,No,No,Understands,No,Understands
B. Phrases,Sit down.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,Understands,No,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands
B. Phrases,Spit it out.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,Understands,No,Understands,No,Understands,No,No,Understands,Understands,No,No,No,No,No
B. Phrases,Stop it.,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,No,No,No,Understands,No,Understands,Understands,No,No,Understands,Understands,No,No,Understands,Understands,Understands,Understands,Understands,Understands,No,No,No,No,Understands
