frame,time
1,0.013
2,0.046
3,0.078
4,0.110
5,0.175
6,0.207
7,0.239
8,0.271
9,0.336
10,0.368
11,0.400
12,0.433
13,0.497
14,0.529
15,0.562
16,0.594
17,0.658
18,0.691
19,0.723
20,0.755
21,0.820
22,0.852
23,0.884
24,0.916
25,0.981
26,1.013
27,1.046
28,1.078
29,1.142
30,1.175
31,1.207
32,1.239
33,1.304
34,1.336
35,1.368
36,1.400
37,1.465
38,1.497
39,1.529
40,1.562
41,1.626
42,1.658
43,1.691
44,1.723
45,1.787
46,1.820
47,1.852
48,1.884
49,1.949
50,1.981
51,2.013
52,2.046
53,2.110
54,2.142
55,2.175
56,2.207
57,2.271
58,2.304
59,2.336
60,2.368
61,2.400
62,2.465
63,2.497
64,2.529
65,2.562
66,2.626
67,2.658
68,2.691
69,2.723
70,2.787
71,2.820
72,2.852
73,2.884
74,2.949
75,2.981
76,3.013
77,3.078
78,3.110
79,3.142
80,3.175
81,3.207
82,3.271
83,3.304
84,3.336
85,3.368
86,3.433
87,3.465
88,3.497
89,3.529
90,3.594
91,3.626
92,3.658
93,3.691
94,3.755
95,3.787
96,3.820
97,3.852
98,3.916
99,3.949
100,3.981
101,4.013
102,4.078
103,4.110
104,4.142
105,4.175
106,4.239
107,4.271
108,4.304
109,4.336
110,4.400
111,4.433
112,4.465
113,4.497
114,4.562
115,4.594
116,4.626
117,4.658
118,4.723
119,4.755
120,4.787
121,4.820
122,4.884
123,4.916
124,4.949
125,4.981
126,5.046
127,5.078
128,5.110
129,5.142
130,5.207
131,5.239
132,5.271
133,5.304
134,5.368
135,5.400
136,5.433
137,5.465
138,5.529
139,5.562
140,5.594
141,5.626
142,5.691
143,5.723
144,5.755
145,5.787
146,5.852
147,5.884
148,5.916
149,5.949
150,6.013
151,6.046
152,6.078
153,6.110
154,6.142
155,6.207
156,6.239
157,6.271
158,6.304
159,6.368
160,6.400
161,6.433
162,6.497
163,6.529
164,6.562
165,6.594
166,6.658
167,6.691
168,6.723
169,6.755
170,6.820
171,6.852
172,6.884
173,6.916
174,6.949
175,7.013
176,7.046
177,7.078
178,7.110
179,7.175
180,7.207
181,7.239
182,7.271
183,7.336
184,7.368
185,7.400
186,7.433
187,7.497
188,7.529
189,7.562
190,7.594
191,7.658
192,7.691
193,7.723
194,7.755
195,7.820
196,7.852
197,7.884
198,7.916
199,7.981
200,8.013
201,8.046
202,8.078
203,8.142
204,8.175
205,8.207
206,8.239
207,8.304
208,8.336
209,8.368
210,8.400
211,8.465
212,8.497
213,8.529
214,8.562
215,8.626
216,8.658
217,8.691
218,8.723
219,8.787
220,8.820
221,8.852
222,8.884
223,8.949
224,8.981
225,9.013
226,9.046
227,9.110
228,9.142
229,9.175
230,9.207
231,9.271
232,9.304
233,9.336
234,9.368
235,9.433
