frame,pkt_time,best_time
1,0.000000,0.000000
2,0.033370,0.033370
3,0.066740,0.066740
4,0.100110,0.100110
5,0.133480,0.133480
6,0.166850,0.166850
7,0.200220,0.200220
8,0.233590,0.233590
9,0.266960,0.266960
10,0.300330,0.300330
11,0.333700,0.333700
12,0.367070,0.367070
13,0.400440,0.400440
14,0.433810,0.433810
15,0.467180,0.467180
16,0.500550,0.500550
17,0.533920,0.533920
18,0.567290,0.567290
19,0.600660,0.600660
20,0.634030,0.634030
21,0.667400,0.667400
22,0.700770,0.700770
23,0.734140,0.734140
24,0.767510,0.767510
25,0.800880,0.800880
26,0.834250,0.834250
27,0.867620,0.867620
28,0.900990,0.900990
29,0.934360,0.934360
30,0.967730,0.967730
31,1.001100,1.001100
32,1.034470,1.034470
33,1.067840,1.067840
34,1.101210,1.101210
35,1.134580,1.134580
36,1.167950,1.167950
37,1.201320,1.201320
38,1.234690,1.234690
39,1.268060,1.268060
40,1.301430,1.301430
41,1.334800,1.334800
42,1.368170,1.368170
43,1.401540,1.401540
44,1.434910,1.434910
45,1.468280,1.468280
46,1.501650,1.501650
47,1.535020,1.535020
48,1.568390,1.568390
49,1.601760,1.601760
50,1.635130,1.635130
51,1.668500,1.668500
52,1.701870,1.701870
53,1.735240,1.735240
54,1.768610,1.768610
55,1.801980,1.801980
56,1.835350,1.835350
57,1.868720,1.868720
58,1.902090,1.902090
59,1.935460,1.935460
60,1.968830,1.968830
61,2.002200,2.002200
62,2.035570,2.035570
63,2.068940,2.068940
64,2.102310,2.102310
65,2.135680,2.135680
66,2.169050,2.169050
67,2.202420,2.202420
68,2.235790,2.235790
69,2.269160,2.269160
70,2.302530,2.302530
71,2.335900,2.335900
72,2.369270,2.369270
73,2.402640,2.402640
74,2.436010,2.436010
75,2.469380,2.469380
76,2.502750,2.502750
77,2.536120,2.536120
78,2.569490,2.569490
79,2.602860,2.602860
80,2.636230,2.636230
81,2.669600,2.669600
82,2.702970,2.702970
83,2.736340,2.736340
84,2.769710,2.769710
85,2.803080,2.803080
86,2.836450,2.836450
87,2.869820,2.869820
88,2.903190,2.903190
89,2.936560,2.936560
90,2.969930,2.969930
91,3.003300,3.003300
92,3.036670,3.036670
93,3.070040,3.070040
94,3.103410,3.103410
95,3.136780,3.136780
96,3.170150,3.170150
97,3.203520,3.203520
98,3.236890,3.236890
99,3.270260,3.270260
100,3.303630,3.303630
101,3.337000,3.337000
102,3.370370,3.370370
103,3.403740,3.403740
104,3.437110,3.437110
105,3.470480,3.470480
106,3.503850,3.503850
107,3.537220,3.537220
108,3.570590,3.570590
109,3.603960,3.603960
110,3.637330,3.637330
111,3.670700,3.670700
112,3.704070,3.704070
113,3.737440,3.737440
114,3.770810,3.770810
115,3.804180,3.804180
116,3.837550,3.837550
117,3.870920,3.870920
118,3.904290,3.904290
119,3.937660,3.937660
120,3.971030,3.971030
121,4.004400,4.004400
122,4.037770,4.037770
123,4.071140,4.071140
124,4.104510,4.104510
125,4.137880,4.137880
126,4.171250,4.171250
127,4.204620,4.204620
128,4.237990,4.237990
129,4.271360,4.271360
130,4.304730,4.304730
131,4.338100,4.338100
132,4.371470,4.371470
133,4.404840,4.404840
134,4.438210,4.438210
135,4.471580,4.471580
136,4.504950,4.504950
137,4.538320,4.538320
138,4.571690,4.571690
139,4.605060,4.605060
140,4.638430,4.638430
141,4.671800,4.671800
142,4.705170,4.705170
143,4.738540,4.738540
144,4.771910,4.771910
145,4.805280,4.805280
146,4.838650,4.838650
147,4.872020,4.872020
148,4.905390,4.905390
149,4.938760,4.938760
150,4.972130,4.972130
151,5.005500,5.005500
152,5.038870,5.038870
153,5.072240,5.072240
154,5.105610,5.105610
155,5.138980,5.138980
156,5.172350,5.172350
157,5.205720,5.205720
158,5.239090,5.239090
159,5.272460,5.272460
160,5.305830,5.305830
161,5.339200,5.339200
162,5.372570,5.372570
163,5.405940,5.405940
164,5.439310,5.439310
165,5.472680,5.472680
166,5.506050,5.506050
167,5.539420,5.539420
168,5.572790,5.572790
169,5.606160,5.606160
170,5.639530,5.639530
171,5.672900,5.672900
172,5.706270,5.706270
173,5.739640,5.739640
174,5.773010,5.773010
175,5.806380,5.806380
176,5.839750,5.839750
177,5.873120,5.873120
178,5.906490,5.906490
179,5.939860,5.939860
180,5.973230,5.973230
181,6.006600,6.006600
182,6.039970,6.039970
183,6.073340,6.073340
184,6.106710,6.106710
185,6.140080,6.140080
186,6.173450,6.173450
187,6.206820,6.206820
188,6.240190,6.240190
189,6.273560,6.273560
190,6.306930,6.306930
191,6.340300,6.340300
192,6.373670,6.373670
193,6.407040,6.407040
194,6.440410,6.440410
195,6.473780,6.473780
196,6.507150,6.507150
197,6.540520,6.540520
198,6.573890,6.573890
199,6.607260,6.607260
200,6.640630,6.640630
201,6.674000,6.674000
202,6.707370,6.707370
203,6.740740,6.740740
204,6.774110,6.774110
205,6.807480,6.807480
206,6.840850,6.840850
207,6.874220,6.874220
208,6.907590,6.907590
209,6.940960,6.940960
210,6.974330,6.974330
211,7.007700,7.007700
212,7.041070,7.041070
213,7.074440,7.074440
214,7.107810,7.107810
215,7.141180,7.141180
216,7.174550,7.174550
217,7.207920,7.207920
218,7.241290,7.241290
219,7.274660,7.274660
220,7.308030,7.308030
221,7.341400,7.341400
222,7.374770,7.374770
223,7.408140,7.408140
224,7.441510,7.441510
225,7.474880,7.474880
226,7.508250,7.508250
227,7.541620,7.541620
228,7.574990,7.574990
229,7.608360,7.608360
230,7.641730,7.641730
231,7.675100,7.675100
232,7.708470,7.708470
233,7.741840,7.741840
234,7.775210,7.775210
235,7.808580,7.808580
236,7.841950,7.841950
237,7.875320,7.875320
238,7.908690,7.908690
239,7.942060,7.942060
240,7.975430,7.975430
241,8.008800,8.008800
242,8.042170,8.042170
243,8.075540,8.075540
244,8.108910,8.108910
245,8.142280,8.142280
246,8.175650,8.175650
247,8.209020,8.209020
248,8.242390,8.242390
249,8.275760,8.275760
250,8.309130,8.309130
251,8.342500,8.342500
252,8.375870,8.375870
253,8.409240,8.409240
254,8.442610,8.442610
255,8.475980,8.475980
256,8.509350,8.509350
257,8.542720,8.542720
258,8.576090,8.576090
259,8.609460,8.609460
260,8.642830,8.642830
261,8.676200,8.676200
262,8.709570,8.709570
263,8.742940,8.742940
264,8.776310,8.776310
265,8.809680,8.809680
266,8.843050,8.843050
