"group","video","frame","is_face"
"8","XS_0819","14318","False"
"12","XS_1229","03681","True"
"12","XS_1218","08588","False"
"12","XS_1222","06365","False"
"12","XS_1218","14731","False"
"12","XS_1218","02517","False"
"8","XS_0821","26948","True"
"16","XS_1622","02755","True"
"16","XS_1639","03287","True"
"8","XS_0826","14516","False"
"8","XS_0822","00402","True"
"8","XS_0805","15255","True"
"12","XS_1224","17862","True"
"16","XS_1612","18663","True"
"12","XS_1211","12568","True"
"16","XS_1619","01019","True"
"8","XS_0803","22016","True"
"8","XS_0803","17762","False"
"16","XS_1638","06015","False"
"12","XS_1208","10928","False"
"16","XS_1619","13416","True"
"16","XS_1634","01982","True"
"8","XS_0805","00056","False"
"12","XS_1211","55894","False"
"16","XS_1622","07299","False"
"16","XS_1635","17084","False"
"8","XS_0803","20115","False"
"8","XS_0805","10515","True"
"12","XS_1222","10958","True"
"12","XS_1230","04640","False"
"12","XS_1218","16840","False"
"8","XS_0807","03304","True"
"8","XS_0826","12416","True"
"16","XS_1622","02796","True"
"8","XS_0803","03800","False"
"16","XS_1628","39655","True"
"16","XS_1622","05576","False"
"12","XS_1218","19126","False"
"16","XS_1639","03103","True"
"16","XS_1629","24470","False"
"8","XS_0819","17585","False"
"8","XS_0807","12599","False"
"12","XS_1208","03232","False"
"12","XS_1211","06102","True"
"16","XS_1631","15405","False"
"12","XS_1201","01413","True"
"12","XS_1230","02215","True"
"8","XS_0819","18888","False"
"16","XS_1628","48669","False"
"12","XS_1230","05057","False"
"12","XS_1229","01027","False"
"8","XS_0825","11095","False"
"16","XS_1612","09731","True"
"8","XS_0821","25615","False"
"12","XS_1219","24468","True"
"16","XS_1634","06765","True"
"8","XS_0814","02551","True"
"12","XS_1201","03213","False"
"12","XS_1222","00715","False"
"12","XS_1222","13178","False"
"8","XS_0801","06131","False"
"12","XS_1208","09665","False"
"8","XS_0826","08406","False"
"12","XS_1216","05946","True"
"16","XS_1604","14679","False"
"16","XS_1638","24205","True"
"16","XS_1628","45479","True"
"16","XS_1629","03653","True"
"8","XS_0821","04550","False"
"8","XS_0826","09666","True"
"16","XS_1619","05820","False"
"8","XS_0803","08749","True"
"16","XS_1635","16862","True"
"16","XS_1638","01020","True"
"12","XS_1230","00418","True"
"16","XS_1634","10760","False"
"12","XS_1211","55832","False"
"16","XS_1631","07835","False"
"16","XS_1614","27613","True"
"12","XS_1205","11141","True"
"16","XS_1604","01436","False"
"12","XS_1201","05061","True"
"8","XS_0826","02580","True"
"8","XS_0803","21837","True"
"8","XS_0822","03457","False"
"16","XS_1635","15360","False"
"12","XS_1216","15945","False"
"12","XS_1216","18347","True"
"12","XS_1216","18345","True"
"16","XS_1619","24818","True"
"16","XS_1612","15045","False"
"8","XS_0805","15544","True"
"8","XS_0811","03995","False"
"16","XS_1631","15214","True"
"12","XS_1216","21729","False"
"12","XS_1219","26979","False"
"16","XS_1629","12828","False"
"16","XS_1631","21873","True"
