code,start,stop,type,orient
posture,31233,220294,si,1
posture,220295,230244,p,0
posture,230245,240041,c,NaN
posture,240042,249341,si,1
posture,246205,260585,p,1
posture,260586,271559,c,NaN
posture,271560,295708,p,1
posture,293107,299339,c,NaN
posture,299340,300854,si,2
posture,300855,324874,p,0
posture,327413,514000,si,1
posture,514001,521761,st,1
posture,521762,547109,si,1
posture,547110,550827,c,NaN
posture,550828,561807,si,1
posture,561808,591559,st,1
posture,591560,604740,si,1
posture,604741,695068,p,1
posture,695068,725836,si,1
posture,725837,736971,st,1
posture,736972,747883,si,1
posture,747884,763570,st,1
posture,763571,779441,si,1
posture,779442,795779,p,0
posture,795780,801916,c,NaN
posture,801917,898844,si,1
posture,898845,938772,p,1
posture,938773,942261,c,NaN
not-in-frame,303378,325471,NIF,NIF
not-in-frame,942261,305884,NIF,NIF
