frame,time
1,0.042
2,0.075
3,0.107
4,0.139
5,0.204
6,0.236
7,0.268
8,0.301
9,0.365
10,0.397
11,0.430
12,0.462
13,0.526
14,0.559
15,0.591
16,0.623
17,0.688
18,0.720
19,0.752
20,0.784
21,0.849
22,0.881
23,0.913
24,0.946
25,1.010
26,1.042
27,1.075
28,1.107
29,1.172
30,1.204
31,1.236
32,1.268
33,1.333
34,1.365
35,1.397
36,1.430
37,1.494
38,1.526
39,1.559
40,1.591
41,1.655
42,1.688
43,1.720
44,1.752
45,1.817
46,1.849
47,1.881
48,1.913
49,1.978
50,2.010
51,2.075
52,2.107
53,2.139
54,2.172
55,2.204
56,2.236
57,2.301
58,2.333
59,2.365
60,2.397
61,2.462
62,2.494
63,2.526
64,2.559
65,2.623
66,2.655
67,2.688
68,2.720
69,2.784
70,2.817
71,2.849
72,2.881
73,2.913
74,2.978
75,3.010
76,3.043
77,3.075
78,3.139
79,3.172
80,3.204
81,3.236
82,3.301
83,3.333
84,3.365
85,3.430
86,3.462
87,3.494
88,3.526
89,3.591
90,3.623
91,3.655
92,3.688
93,3.752
94,3.784
95,3.817
96,3.849
97,3.913
98,3.946
99,3.978
100,4.010
101,4.043
102,4.107
103,4.139
104,4.172
105,4.236
106,4.268
107,4.301
108,4.333
109,4.365
110,4.430
111,4.462
112,4.494
113,4.526
114,4.591
115,4.623
116,4.655
117,4.688
118,4.752
119,4.784
120,4.817
121,4.849
122,4.913
123,4.946
124,4.978
125,5.010
126,5.075
127,5.107
128,5.139
129,5.172
130,5.236
131,5.268
132,5.301
133,5.333
134,5.397
135,5.430
136,5.462
137,5.494
138,5.559
139,5.591
140,5.623
141,5.655
142,5.720
143,5.752
144,5.784
145,5.817
146,5.881
147,5.914
148,5.946
149,5.978
150,6.043
151,6.075
152,6.107
153,6.139
154,6.204
155,6.236
156,6.268
157,6.301
158,6.365
159,6.397
160,6.430
161,6.462
162,6.526
163,6.559
164,6.591
165,6.623
166,6.688
167,6.720
168,6.752
169,6.784
170,6.849
171,6.881
172,6.914
173,6.946
174,7.010
175,7.043
176,7.075
177,7.107
178,7.172
179,7.204
180,7.236
181,7.268
182,7.333
183,7.365
184,7.397
185,7.430
186,7.462
187,7.526
188,7.559
189,7.591
190,7.655
191,7.688
192,7.720
193,7.752
194,7.785
195,7.849
196,7.881
197,7.914
198,7.946
199,8.010
