frame,pkt_time,best_time
1,0.000000,0.000000
2,0.033351,0.033351
3,0.066702,0.066702
4,0.100053,0.100053
5,0.133404,0.133404
6,0.166755,0.166755
7,0.200106,0.200106
8,0.233457,0.233457
9,0.266808,0.266808
10,0.300159,0.300159
11,0.333510,0.333510
12,0.366861,0.366861
13,0.400212,0.400212
14,0.433563,0.433563
15,0.466914,0.466914
16,0.500265,0.500265
17,0.533616,0.533616
18,0.566967,0.566967
19,0.600318,0.600318
20,0.633669,0.633669
21,0.667020,0.667020
22,0.700371,0.700371
23,0.733722,0.733722
24,0.767073,0.767073
25,0.800424,0.800424
26,0.833775,0.833775
27,0.867126,0.867126
28,0.900477,0.900477
29,0.933828,0.933828
30,0.967179,0.967179
31,1.000530,1.000530
32,1.033881,1.033881
33,1.067232,1.067232
34,1.100583,1.100583
35,1.133934,1.133934
36,1.167285,1.167285
37,1.200636,1.200636
38,1.233987,1.233987
39,1.267338,1.267338
40,1.300689,1.300689
41,1.334040,1.334040
42,1.367391,1.367391
43,1.400742,1.400742
44,1.434093,1.434093
45,1.467444,1.467444
46,1.500795,1.500795
47,1.534146,1.534146
48,1.567497,1.567497
49,1.600848,1.600848
50,1.634199,1.634199
51,1.667550,1.667550
52,1.700901,1.700901
53,1.734252,1.734252
54,1.767603,1.767603
55,1.800954,1.800954
56,1.834305,1.834305
57,1.867656,1.867656
58,1.901007,1.901007
59,1.934358,1.934358
60,1.967709,1.967709
61,2.001060,2.001060
62,2.034411,2.034411
63,2.067762,2.067762
64,2.101113,2.101113
65,2.134464,2.134464
66,2.167815,2.167815
67,2.201166,2.201166
68,2.234517,2.234517
69,2.267868,2.267868
70,2.301219,2.301219
71,2.334570,2.334570
72,2.367921,2.367921
73,2.401272,2.401272
74,2.434623,2.434623
75,2.467974,2.467974
76,2.501325,2.501325
77,2.534676,2.534676
78,2.568027,2.568027
79,2.601378,2.601378
80,2.634729,2.634729
81,2.668080,2.668080
82,2.701431,2.701431
83,2.734782,2.734782
84,2.768133,2.768133
85,2.801484,2.801484
86,2.834835,2.834835
87,2.868186,2.868186
88,2.901537,2.901537
89,2.934888,2.934888
90,2.968239,2.968239
91,3.001590,3.001590
92,3.034941,3.034941
93,3.068292,3.068292
94,3.101643,3.101643
95,3.134994,3.134994
96,3.168345,3.168345
97,3.201696,3.201696
98,3.235047,3.235047
99,3.268398,3.268398
100,3.301749,3.301749
101,3.335100,3.335100
102,3.368451,3.368451
103,3.401802,3.401802
104,3.435153,3.435153
105,3.468504,3.468504
106,3.501855,3.501855
107,3.535206,3.535206
108,3.568557,3.568557
109,3.601908,3.601908
110,3.635259,3.635259
111,3.668610,3.668610
112,3.701961,3.701961
113,3.735312,3.735312
114,3.768663,3.768663
115,3.802014,3.802014
116,3.835365,3.835365
117,3.868716,3.868716
118,3.902067,3.902067
119,3.935418,3.935418
120,3.968769,3.968769
121,4.002120,4.002120
122,4.035471,4.035471
123,4.068822,4.068822
124,4.102173,4.102173
125,4.135524,4.135524
126,4.168875,4.168875
127,4.202226,4.202226
128,4.235577,4.235577
129,4.268928,4.268928
130,4.302279,4.302279
131,4.335630,4.335630
132,4.368981,4.368981
133,4.402332,4.402332
134,4.435683,4.435683
135,4.469034,4.469034
136,4.502385,4.502385
137,4.535736,4.535736
138,4.569087,4.569087
139,4.602438,4.602438
140,4.635789,4.635789
141,4.669140,4.669140
142,4.702491,4.702491
143,4.735842,4.735842
144,4.769193,4.769193
145,4.802544,4.802544
146,4.835895,4.835895
147,4.869246,4.869246
148,4.902597,4.902597
149,4.935948,4.935948
150,4.969299,4.969299
151,5.002650,5.002650
152,5.036001,5.036001
153,5.069352,5.069352
154,5.102703,5.102703
155,5.136054,5.136054
156,5.169405,5.169405
157,5.202756,5.202756
158,5.236107,5.236107
159,5.269458,5.269458
160,5.302809,5.302809
161,5.336160,5.336160
162,5.369511,5.369511
163,5.402862,5.402862
164,5.436213,5.436213
165,5.469564,5.469564
166,5.502915,5.502915
167,5.536266,5.536266
168,5.569617,5.569617
169,5.602968,5.602968
170,5.636319,5.636319
171,5.669670,5.669670
172,5.703021,5.703021
173,5.736372,5.736372
174,5.769723,5.769723
175,5.803074,5.803074
176,5.836425,5.836425
177,5.869776,5.869776
178,5.903127,5.903127
179,5.936478,5.936478
180,5.969829,5.969829
181,6.003180,6.003180
182,6.036531,6.036531
183,6.069882,6.069882
184,6.103233,6.103233
185,6.136584,6.136584
186,6.169935,6.169935
187,6.203286,6.203286
188,6.236637,6.236637
189,6.269988,6.269988
190,6.303339,6.303339
191,6.336690,6.336690
192,6.370041,6.370041
193,6.403392,6.403392
194,6.436743,6.436743
195,6.470094,6.470094
196,6.503445,6.503445
197,6.536796,6.536796
198,6.570147,6.570147
199,6.603498,6.603498
200,6.636849,6.636849
201,6.670200,6.670200
202,6.703551,6.703551
203,6.736902,6.736902
204,6.770253,6.770253
205,6.803604,6.803604
206,6.836955,6.836955
207,6.870306,6.870306
208,6.903657,6.903657
209,6.937008,6.937008
210,6.970359,6.970359
211,7.003710,7.003710
212,7.037061,7.037061
213,7.070412,7.070412
214,7.103763,7.103763
215,7.137114,7.137114
216,7.170465,7.170465
217,7.203816,7.203816
218,7.237167,7.237167
219,7.270518,7.270518
220,7.303869,7.303869
221,7.337220,7.337220
222,7.370571,7.370571
223,7.403922,7.403922
224,7.437273,7.437273
225,7.470624,7.470624
226,7.503975,7.503975
227,7.537326,7.537326
228,7.570677,7.570677
229,7.604028,7.604028
230,7.637379,7.637379
231,7.670730,7.670730
232,7.704081,7.704081
233,7.737432,7.737432
234,7.770783,7.770783
235,7.804134,7.804134
