 FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 0819; MOM
@Filename:	XS_0819_transcript
@Age of CHI:	 8.9
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************



*MOT:	yeah.
*MOT:	okay.
*MOT:	okay.
*MOT:	is okay if I have this toy?
*MOT:	oh what is this?
*MOT:	fuzzy.
(00:00:30) *MOT:	how about.
*MOT:	let’s see.
*MOT:	would you like to play with the ball?
*MOT:	mmm?
%com:	noise from toy.
*MOT:	okay.
*MOT:	okay.
*MOT:	ball.
*MOT:	what is this?
*MOT:	ball.
*MOT:	yummy.
(00:01:00) *MOT:	ball.
*CHI:	[xxx].
*MOT:	mhm.
*MOT:	purple.
*CHI:	[xxx].
*MOT:	purple.
*CHI:	dada.
*MOT:	yeah.
*CHI:	dada.
*MOT:	dada.
*MOT:	ball.
*CHI:	[xxx].
*MOT:	mhm.
*MOT:	what’s this?
*MOT:	can I see?
*MOT:	you like fuzzy.
*MOT:	[xxx].
(00:01:30) %com:	mother is whispering.
*CHI:	[xxx].
*MOT:	it’s fuzzy.
*CHI:	[xxx].
(00:02:00) *MOT:	ooh.
*CHI:	[xxx].
*MOT:	what is this [xxx]?
*MOT:	[xxx].
*MOT:	tima.
%com:	noise from toy.
*MOT:	tima.
(00:02:30) *MOT:	oh that’s [xxx] too huh?
*CHI:	[xxx].
*MOT:	mhm.
%com:	noise from toy.
*MOT:	[xxx].
%com:	mother is whispering.
*CHI:	[xxx].
*MOT:	oh.
*CHI:	[xxx].
*MOT:	you like the ball better.
*MOT:	how about this?
*MOT:	it’s very bright.
*MOT:	what is this?
*MOT:	hmm?
(00:03:00) *CHI:	[xxx].
*MOT:	do you like the brush too?
*MOT:	brushbrushbrush.
*MOT:	brushbrushbrush.
*MOT:	brushbrushbrush.
*MOT:	brushbrush [xxx] brushbrush.
*MOT:	brush it.
*MOT:	brush it.
(00:03:30) *MOT:	do you want [xxx] with the brush?
%com:	mother is whispering.
*MOT:	brush bristles.
*MOT:	[xxx] brush.
%com:	noises from brush.
*MOT:	[xxx].
%com:	mother is whispering.
*MOT:	[xxx].
