FILE INFORMATION HEADING


@Begin
@Participants:		CHI: ###; MOM
@Filename:	XS_0826_transcript
@Age of CHI:	 9
@Date of Test: XXX
@Activities:	XXX
@Transcribed by:	GMRTrans; Checked by LS; Date:  XXX
%com:	TRANSCRIPTION BEGINS
%com:	***********************************





*MOT:	okay.
*MOT:	I’m sure it’s fine.
*MOT:	okay.
*MOT:	okay.
*MOT:	hey emmy.
*MOT:	look at this.
%com:	mother gasps.
*MOT:	wow.
*MOT:	check that out.
*CHI:	[xxx].
*MOT:	yeah.
*MOT:	where are we huh?
*CHI:	[xxx].
*MOT:	what do you see?
(:30) *MOT:	what’s in here?
*MOT:	you see the wall?
*MOT:	say forget toys.
*MOT:	emmy.
*MOT:	oh look at those.
*MOT:	those look like a ball.
*MOT:	emmy.
*MOT:	emmy look at this.
%com:	mother gasps.
*MOT:	I have a ball.
*CHI:	[xxx].
*MOT:	you want to come get it?
*MOT:	come here.
*MOT:	come get it.
*MOT:	catch.
(1:00) %com:	mother gasps.
*MOT:	yay.
*MOT:	can you throw it back?
*MOT:	you want to throw the ball back?
*MOT:	ready catch.
*CHI:	[xxx].
*MOT:	yeah.
*MOT:	you caught it.
*CHI:	[xxx].
*MOT:	is that right?
*CHI:	[xxx].
*MOT:	oh.
*MOT:	get it.
*MOT:	yeah.
(1:30) *MOT:	oh yummy ball huh?
%com:	mother laughs.
*MOT:	you’re gonna blow on it.
*MOT:	you like that one?
*CHI:	[xxx].
*MOT:	yeah.
*MOT:	that tastes good too.
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	get it.
*MOT:	let’s put that back.
(2:00) *MOT:	what about this one?
*MOT:	hey this is funny.
*MOT:	oh.
*MOT:	what does that feel like?
%com:	mother laughs.
*MOT:	soft.
*CHI:	[xxx].
*MOT:	yumyum.
*CHI:	[xxx].
(2:30) *MOT:	whoa. 
*MOT:	what do you think about this room huh?
*CHI:	[xxx].
*MOT:	come back.
*MOT:	come back over here.
*MOT:	look.
*MOT:	look at this.
*MOT:	oh you didn’t like that.
*CHI:	[xxx].
*MOT:	boo.
(3:00) *MOT:	yeah.
*CHI:	[xxx].
*MOT:	where you going?
*CHI:	[xxx].
*MOT:	ah.
*CHI:	ball.
*MOT:	it’s a ball.
*MOT:	that’s right.
*MOT:	yeah.
*MOT:	get it.
*MOT:	yay.
*MOT:	yay.
*MOT:	emmy.
*CHI:	[xxx].
*MOT:	yumyum.
(3:30) *MOT:	oh.
*CHI:	[xxx].
*CHI:	[xxx].
*MOT:	it’s kind of squishy.
*CHI:	yeahyeahyeah.
